Group ID,Group Name,Chemical Name
37,Nitriles,Acetonitrile
37,Nitriles,Adiponitrile
37,Nitriles,Lactonitrile solution
37,Nitriles,3-Pentenenitrile
37,Nitriles,Propionitrile
37,Nitriles,Tallow nitrile
38,Carbon Disulfide,Carbon disulfide
38,Carbon Disulfide,Carbon disulfide
39,Sulfolane,Sulfolane
40,Glycol Ethers,Diethylene glycol
40,Glycol Ethers,Diethylene glycol butyl ether
40,Glycol Ethers,Diethylene glycol dibutyl ether
40,Glycol Ethers,Diethylene glycol ethyl ether
40,Glycol Ethers,Diethylene glycol methyl ether
40,Glycol Ethers,Diethylene glycol phenyl ether
40,Glycol Ethers,Dipropylene glycol
40,Glycol Ethers,Dipropylene glycol methyl ether
40,Glycol Ethers,Ethoxy triglycol
40,Glycol Ethers,Ethylene glycol tert-butyl ether
40,Glycol Ethers,Ethylene glycol butyl ether
40,Glycol Ethers,Ethylene glycol dibutyl ether
40,Glycol Ethers,Ethylene glycol ethyl ether
40,Glycol Ethers,Ethylene glycol isopropyl ether
40,Glycol Ethers,Ethylene glycol methyl ether
40,Glycol Ethers,Ethylene glycol phenyl ether
40,Glycol Ethers,"Ethylene glycol phenyl ether, Diethylene glycol phenyl ether mixture"
40,Glycol Ethers,Ethylene glycol propyl ether
40,Glycol Ethers,Methoxy triglycol
40,Glycol Ethers,Nonyl phenol (ethoxylated)
40,Glycol Ethers,Nonyl phenol poly(4-12)ethoxylates
40,Glycol Ethers,"Oil, misc: Soybean (epoxidized)"
40,Glycol Ethers,"Polyalkylene glycols, Polyalkylene glycol monoalkyl ethers mixtures"
40,Glycol Ethers,Polyethylene glycols
40,Glycol Ethers,Polyethylene glycol dimethyl ether
40,Glycol Ethers,Polyethylene glycol monoalkyl ether
40,Glycol Ethers,Polypropylene glycol methyl ether
40,Glycol Ethers,Polypropylene glycols
40,Glycol Ethers,n-Propoxypropanol
40,Glycol Ethers,Propylene glycol monoalkyl ether
40,Glycol Ethers,Propylene glycol ethyl ether
40,Glycol Ethers,Propylene glycol methyl ether
40,Glycol Ethers,Tetraethylene glycol
