Group ID,Group Name,Chemical Name
9,Aromatic Amines,"4,4'-Methylene dianiline (43% or less), Polymethylene polyphenylamine, o-Dichlorobenzene mixtures"
9,Aromatic Amines,2-Methyl-6-ethyl aniline
9,Aromatic Amines,2-Methyl-5-ethyl pyridine
9,Aromatic Amines,Methyl pyridine
9,Aromatic Amines,3-Methylpyridine
9,Aromatic Amines,N-Methyl pyrrolidone
9,Aromatic Amines,Pyridine
9,Aromatic Amines,Pyridine bases
9,Aromatic Amines,Toluenediamine
9,Aromatic Amines,p-Toluidine
10,Amides,Acrylamide solution
10,Amides,"N,N-Dimethylacetamide"
10,Amides,"N,N-Dimethylacetamide solution"
10,Amides,Dimethylformamide
10,Amides,Formamide
10,Amides,Octadecenoamide
11,Organic Anhydrides,Acetic anhydride
11,Organic Anhydrides,Maleic anhydride
11,Organic Anhydrides,Phthalic anhydride
11,Organic Anhydrides,Propionic anhydride
12,Isocyanates,Diphenylmethane diisocyanate
12,Isocyanates,Isophorone diisocyanate
12,Isocyanates,Polymethylene polyphenyl isocyanate
12,Isocyanates,Toluene diisocyanate
12,Isocyanates,"Trimethylhexamethylene diisocyanate (2,2,4- and 2,4,4-)"
13,Vinyl Acetate,Vinyl acetate
13,Vinyl Acetate,Vinyl ethyl ether
13,Vinyl Acetate,Vinyl neodecanate
13,Vinyl Acetate,Vinyl toluene
14,Acrylates,Butyl acrylate
14,Acrylates,Butyl methacrylate
14,Acrylates,"Butyl methacrylate, Decyl methacrylate, Cetyl-Eicosyl methacrylate mixture"
14,Acrylates,Cetyl-Eicosyl methacrylate mixture
14,Acrylates,Decyl acrylate
14,Acrylates,Dodecyl methacrylate
14,Acrylates,Dodecyl-Pentadecyl methacrylate mixture
14,Acrylates,Ethyl acrylate
14,Acrylates,2-Ethylhexyl acrylate
14,Acrylates,Ethyl methacrylate
14,Acrylates,Methyl acrylate
14,Acrylates,Methyl methacrylate
14,Acrylates,Nonyl methacrylate
14,Acrylates,Polyalkyl(C18 - C22) acrylate in Xylene
15,Substituted Allyls,Acrylonitrile ²
15,Substituted Allyls,Allyl alcohol ²
15,Substituted Allyls,Allyl chloride
15,Substituted Allyls,"1,3-Dichloropropene"
15,Substituted Allyls,"Dichloropropene, Dichloropropane mixtures"
15,Substituted Allyls,Methacrylonitrile
16,Alkylene Oxides,Butylene oxide
16,Alkylene Oxides,"Ethylene oxide, Propylene oxide mixtures"
16,Alkylene Oxides,Propylene oxide
17,Epichlorohydrin,Epichlorohydrin
18,Ketones,Acetone ²
18,Ketones,Acetophenone
18,Ketones,Amyl methyl ketone
18,Ketones,Butyl heptyl ketone
18,Ketones,Camphor oil
18,Ketones,Cyclohexanone
18,Ketones,"Cyclohexanone, Cyclohexanol mixtures ²"
18,Ketones,Diisobutyl ketone
18,Ketones,Ethyl amyl ketone
18,Ketones,Epoxy resin
18,Ketones,Ketone residue
18,Ketones,Isophorone ²
18,Ketones,Mesityl oxide ²
18,Ketones,Methyl amyl ketone
18,Ketones,Methyl butyl ketone
18,Ketones,Methyl diethanolamine
18,Ketones,Methyl ethyl ketone ²
18,Ketones,Methyl heptyl ketone
18,Ketones,Methyl isoamyl ketone
18,Ketones,Methyl isobutyl ketone ²
19,Aldehydes,Acetaldehyde
19,Aldehydes,Acrolein ²
19,Aldehydes,Butyraldehyde
19,Aldehydes,Crotonaldehyde ²
19,Aldehydes,Decaldehyde
19,Aldehydes,Ethylhexaldehyde
19,Aldehydes,2-Ethyl-3-propylacrolein ²
19,Aldehydes,"Formaldehyde, Methanol mixtures ²"
19,Aldehydes,Formaldehyde solution ²
19,Aldehydes,Furfural
19,Aldehydes,Glutaraldehyde solution
19,Aldehydes,Glyoxal solutions
19,Aldehydes,3-Methyl butyraldehyde
19,Aldehydes,Methylolureas
19,Aldehydes,Octyl aldehyde
19,Aldehydes,Paraldehyde
19,Aldehydes,Pentyl aldehyde
19,Aldehydes,Propionaldehyde
19,Aldehydes,Salicylaldehyde
19,Aldehydes,Valeraldehyde
20,"Alcohols, Glycols",Acrylonitrile-Styrene copolymer dispersion in Polyether polyol
20,"Alcohols, Glycols",Alcoholic beverages
20,"Alcohols, Glycols",Alcohol polyethoxylates
20,"Alcohols, Glycols","Alcohol polyethoxylates, secondary"
20,"Alcohols, Glycols",Alcohols (C13 and above)
20,"Alcohols, Glycols",Amyl alcohol
20,"Alcohols, Glycols",Behenyl alcohol
20,"Alcohols, Glycols",Brake fluid base mixtures
20,"Alcohols, Glycols",Butyl alcohol ²
20,"Alcohols, Glycols",Butylene glycol ²
20,"Alcohols, Glycols",Choline chloride solutions
20,"Alcohols, Glycols",Cyclohexanol
20,"Alcohols, Glycols",Decyl alcohol ²
20,"Alcohols, Glycols",Diacetone alcohol ²
20,"Alcohols, Glycols",Diisobutyl carbinol
20,"Alcohols, Glycols","2,2-Dimethylpropane-1,3-diol"
20,"Alcohols, Glycols",Dodecanol
20,"Alcohols, Glycols",Dodecyl alcohol
20,"Alcohols, Glycols","Ethoxylated alcohols, C11-C15"
20,"Alcohols, Glycols",2-Ethoxyethanol
20,"Alcohols, Glycols",Ethyl alcohol 
20,"Alcohols, Glycols",Ethyl butanol
20,"Alcohols, Glycols",Ethylene chlorohydrin
20,"Alcohols, Glycols",Ethylene cyanohydrin
20,"Alcohols, Glycols",Ethylene glycol 
20,"Alcohols, Glycols",2-Ethylhexanol
20,"Alcohols, Glycols",Furfuryl alcohol 
20,"Alcohols, Glycols",Glycerine 
20,"Alcohols, Glycols",Heptanol
20,"Alcohols, Glycols",Hexanol
20,"Alcohols, Glycols",Hexylene glycol
20,"Alcohols, Glycols",3-Methoxy-1-butanol
