,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,188,HVO - DIESEL,,A1,,,,0.72,0.007,242,,2.3,60,YES,
,189,HVO - NAPHTHA,,A1,,,,0.686 (@15°C),PARTLY SOLUBLE,35,-60,0.9,-20,YES,
,190,HYDROGENATED VEGETABLE OIL,928771-01-1,A1,,,,0.78 (@15°C),SLIGHT,180,-20,5,61,YES,
,191,2-HYDROXYETHYL ACRYLATE,818-61-1,Y,,,,1.1,COMPLETE,190,-60,5.7,68,,
,192,ISOBUTANOL,78-83-1,Z,A,L2,A,0.802,@25°C,108,-90,3.1,31,,
,193,ISOBUTANOLAMINE,124-68-5,Z,,,,0.922 (@30°C),COMPLETE,165,26,147 (@25°C),67,,
,194,ISOBUTYL ACRYLATE,106-63-8,Y,,,,0.89,0.18,132,-61,4.7,30,YES,
,195,ISOBUTYL ISOBUTYRATE,97-85-8,Y,,,,0.86,INSOLUBLE,149,-81,,37,,
,196,ISOBUTYL METHACRYLATE,97-86-9,Z,,,,0.89,0.13,155,-37,,44,YES,
,197,ISOMERATE,,A1,,,,0.65 (0.65–0.70),INSOLUBLE,21,,,-48,YES,
,198,ISOPENTANE,78-78-4,Y,,,,0.62,INSOLUBLE,29,-160,0.225,-60,YES,
,199,ISOPENTENE,563-45-1,Y,,,,0.65,INSOLUBLE,20,-168,,-58,,
,200,ISOPHORONE,78-59-1,Y,,,,0.923,1.2,215,-8,2.6,84,,
,201,ISOPHORONEDIAMINE,2855-13-2,Y,,,,0.92,COMPLETE,247,10,,110,,
,202,ISOPHORONEDIISOCYANATE,4098-71-9,Y,B,,,1.06,REACTION,,-60,,155,,
,203,ISOPRENE,78-79-5,Y,,,,0.68,INSOLUBLE,34,-146,0.21,-54,YES,
,204,ISOPROPANOL,67-63-0,Z,A,L2,A,0.78,COMPLETE,82,-88,2.43,12,,
,205,ISOPROPANOLAMINE,78-96-6,Y,,,,0.96,COMPLETE,159,1,30.2,80,,
,206,ISOPROPYL ETHER,108-20-3,Y,-,-,-,0.72,0.9,69,-86,33,-28,YES,
,207,ISOPROPYL ACETATE,108-21-4,Z,-,-,-,0.872,3,89,-74,0.53,5,YES,
,208,ISOPROPYLAMINE,75-31-0,Y,-,-,-,0.69,COMPLETE,32,-95,0.36,-37,-,
,209,ISOPROPYLAMINE (70% OR LESS) SOLUTION,75-31-0,Y,-,-,-,0.78,COMPLETE,48,-,-,13,-,
,210,JET FUEL B,64741-41-9,A1,-,-,-,0.75 (Lower Limit),INSOLUBLE,145,-60,-,-31,YES,
,211,KEROSENE,8008-20-6,A1,-,-,-,0.8,INSOLUBLE,150,-20,1.3 (@40°C),37,YES,
,212,KEROSENE DYED,8008-20-6,A1,-,-,-,0.8,INSOLUBLE,150,-20,1.3 (@40°C),37,YES,
,213,LACTIC ACID,50-21-5,Z,-,L1,-,1.2,COMPLETE,-,18,40.5,74,-,
,214,LACTONITRILE SOLUTION (80% OR LESS),78-97-7,Y,-,-,-,0.99,COMPLETE,182,-40,-,77,-,
,215,LARD,61789-99-9,Y,A,L1,A,0.93,INSOLUBLE,-,30,33 (@54°C),202,-,
,216,LATEX: Carboxylated Styrene-Butadiene Copolymer; Styrene-Butadiene Rubber,-,Z,-,-,-,1,SUSPENSION,-,-,-,-,-,
,217,LAURIC ACID,0143-07-07,X,A,L2,A,0.89 (@60°C),INSOLUBLE,225,43,-,112,-,
,218,LECITHIN,8002-43-5,OS,A,-,-,1.48 (99% Sol.),UNKNOWN,-,-,-,-,-,
[219] LIGHT FUEL OIL,,,,,,,,,,,,,,,
,219,HEAVY CYCLE OIL,64741-61-3,A1J,B,-,-,1.00 (@37.8°C),INSOLUBLE,160,-,100 (@37.8°C),60,YES,
,219,RESIDUAL MARINE DIESEL (RMA),68476-31-3,A1,-,-,-,0.92 (@15°C),INSOLUBLE,160,6,10 (Max @50°C),62,YES,
,219,RESIDUAL MARINE FUELS RMB,68476-33-5,A1,B,-,-,0.96 (@15°C),INSOLUBLE,160,0,30 (@50°C),62,YES,
,219,"RESIDUAL MARINE FUELS, RMA-RMB",68476-33-5,A1,B,-,-,0.96 (@15°C),INSOLUBLE,160,6,30 (@50°C),62,YES,
,219,"RESIDUAL MARINE FUELS, RME",68476-33-5,A1,B,-,-,0.991 (@15°C),INSOLUBLE,204,30,180 (@50°C),61,YES,
[220] LINEAR ALKYL BENZENES (LAB),,,,,,,,,,,,,,,
,220,ALKYL (C3-C4) BENZENES,-,Y,-,-,-,0.875,INSOLUBLE,161,-53,0.81,49,YES,
,220,ALKYL (C5-C8) BENZENES,-,X,-,-,-,0.85,INSOLUBLE,255,-70,5 (Approx.),120,YES,
,220,DODECYLBENZENE,0123-01-03,Y,-,-,-,0.86,INSOLUBLE,230,-7,5.7,110,-,
,220,TETRADECYLBENZENE,1459-10-5,Y,-,-,-,0.86,INSOLUBLE,196,16,7.68,150,-,
,220,TRIDECYLBENZENE,0123-02-04,Y,-,-,-,0.9,INSOLUBLE,346,10,-,112,-,
,220,UNDECYLBENZENE,6742-54-7,Y,-,-,-,0.855,INSOLUBLE,316,-5,4.57,141,-,
,221,LINSEED OIL,8001-26-1,Y,A,L1,A,0.925,INSOLUBLE,343,-19,48,320,-,
,222,Lube Oil Additives,—,—,B,—,—,—,Insoluble,—,—,High,—,—,
[223] LUBRICATING OILS,,,,,,,,,,,,,,,
,223,Base Oil SN 100,—,A1,—,—,—,0.86 (@15°C),Insoluble,370,-18,30,200,Yes,
,223,Base Oil SN 500,—,A1,—,—,—,0.881 (@15°C),Insoluble,—,-6,95 (@40°C),237,Yes,
,223,Bright Stock 150,—,A1,—,—,—,0.894 (@15°C),Insoluble,280,-9,450 (@40°C),298,Yes,
,223,Mineral Base Oil (Paraffinic),—,A1,—,—,—,0.93 (Approx.),Insoluble,150,—,—,—,Yes,
,224,Maize Oil,—,Y,A,L1,A,0.92,Insoluble,260,-8,52,—,—,
,225,Maleic Anhydride,108-31-6,Y,—,—,—,1.30 (@70°C),Partly Soluble,200,53,—,102,—,
,226,Mesityl Oxide,141-79-7,Z,—,—,—,0.85,1.07,130,0,0.6,31,—,
,227,Meta-Dichlorobenzene,541-73-1,X,—,—,—,1.288,Insoluble,171,-25,—,65,—,
,228,Methacrylic Acid,79-41-4,Y,—,—,—,1.014,Above 16°C,161,15,1.54,77,—,
,229,Methacrylonitrile,126-98-7,Y,—,—,—,0.8,2.6,90,-36,—,-1,Yes,
,230,Methanol,67-56-1,Y,A,L2,A,0.792,Complete,64,-98,0.59,10,—,
,231,3-Methoxy-1-Butanol,2517-43-3,Z,—,—,—,0.928,Complete,160,-85,—,46,—,
,232,3-Methoxybutyl Acetate,—,Y,—,—,—,0.955,6.5,171,—,1.3,62,—,
,233,Methyl Amyl Alcohol,0108-11-2,Z,—,—,—,0.807,1.6,132,-90,5.2,41,—,
,234,Methyl Formate,107-31-3,Z,—,—,—,0.97,30,32,-100,0.35,-32,—,
,235,Methyl tert-Butyl Ether (MTBE),1634-04-04,Z,A,L2,A,0.74,4.8,55,-109,0.35,-34,Yes,
,236,2-Methyl-1-Pentene,763-29-1,Y,—,—,—,0.68,Insoluble,62,-136,—,-26,—,
,237,1-Methyl-2-Pyrrolidone,872-50-4,Y,—,—,—,1.03,Complete,202,-23,—,96,—,
,238,2-Methyl-5-Ethylpyridine,104-90-5,Y,—,—,—,0.92,1.2,178,-70,2,60,—,
,239,Methyl Acetate,79-20-9,Z,A,L2,A,0.9,25,57,-98,0.37,-10,—,
,240,Methyl Acetoacetate,105-45-3,Z,—,—,—,1.077,40,170,-80,—,62,—,
,241,Methyl Acrylate,96-33-3,Y,B,—,—,0.95,@25°C,80,-77,0.48,-3,Yes,
,242,Methylamine Solutions (42% or Less),74-89-5,Y,—,—,—,0.89,Complete,48,-38,—,-13,—,
,243,Methyl Amyl Acetate,108-84-9,Y,—,—,—,0.86,0.13,146,-64,1.75,43,—,
,244,Methyl Amyl Ketone,110-43-0,Z,—,—,—,0.82,0.43,152,-35,—,49,—,
,245,Methylene Chloride,75-09-2,Y,—,—,—,1.3246,2,40,-96,0.44,—,—,
,246,Methylenediphenyl Isocyanate (MDI),101-68-8,Y,B,—,—,1.23 (1.18–1.24),Reaction,314,—,80 (@25°C),196,—,
,247,Methyl Ethyl Ketone (MEK),78-93-3,Z,A,L2,A,0.805,25,80,-86,0.42,-9,Yes,
,248,Methyl Isobutyl Ketone (MIBK),0108-10-1,Z,A,L2,A,0.801,2,116,-85,0.6,14,Yes,
,249,Methyl Methacrylate,80-62-6,Y,B,—,—,0.944,1.5,101,-48,0.56,10,Yes,
[250] METHYLNAPHTHALENES,,,,,,,,,,,,,,,
,250,β-Methylnaphthalene,91-57-6,X,—,—,—,1,Insoluble,240,34.6,—,97,—,
,250,α-Methylnaphthalene,90-12-0,X,—,—,—,1.01,Insoluble,244,-19,—,78,—,
,251,Methyl Propyl Ketone,107-87-9,Z,—,—,—,0.8,4,102,-78,0.47,7,Yes,
,252,Methyl Salicylate,119-36-8,Y,—,—,—,1.18,0.07,222,-8,—,100,—,
,253,α-Methylstyrene,98-83-9,Y,B,—,—,0.91,Insoluble,165,-23,0.94,40,—,
,254,Mixed Aromatics,71-43-2,Y,—,—,—,0.86 (Approx.),Insoluble,—,5.5,—,4,Yes,
,255,Molasses,68476-78-8,OS,A,L1,A,1.45 (Upper Limit),Partly Soluble,—,20,5000 (Upper Limit),—,—,
,256,Morpholine,110-91-8,Y,B,—,—,1,Complete,128,-5,2.23,32,—,
,257,Motor Gasoline Containing Ethanol,86290-81-5,A1,—,—,—,0.73 (@15°C),Insoluble,39,-20,0.5,-40,Yes,
,258,Myristic Acid,544-63-8,Y,A,L2,A,0.844,Insoluble,326,54,5 (@75°C),110,—,
,259,"N,N-Dimethylcyclohexylamine",98-94-2,Y,—,—,—,0.85,Partly Soluble,162,-40,—,43,—,
,260,Naphtha,64742-95-6,A1,—,—,—,0.85 (Lower Limit),Unknown,130,—,—,15,Yes,
,261,Natural Gas Condensate,68919-39-1,A1,—,—,—,0.65,Insoluble,10,-86,1,-43,Yes,
,262,Natural Gasoline,68425-31-0,A1,—,—,—,0.65,Slight,27,—,—,-18,Yes,
,263,Neodecanoic Acid,26896-20-8,Y,—,—,—,0.91,Slight,270,-40,41,129,—,
[264] NESSOLS,,,,,,,,,,,,,,,
,264,Nessol D100,—,Y,—,—,—,0.8,Insoluble,222,-15,4,90,—,
,264,Nessol D40,64742-48-9,Y,—,—,—,0.80 (Approx.),Slight,150,-15,2,38,Yes,
,264,Nessol D60,—,Y,—,—,—,0.80 (Approx.),Insoluble,175,-20,2,61,Yes,
,264,Nessol D80,—,Y,—,—,—,0.82 (Approx.),Insoluble,200,-20,2,76,Yes,
,264,Piperylene Concentrate,68478-07-09,Y,—,—,—,0.68 (Approx.),Insoluble,42,-87,—,-28,—,
,265,Nitric Acid (<70%),7697-37-2,Y,—,L2,—,1.408 (65% Solution),Aqueous Solution,121,-42,—,—,—,
,266,Nitrobenzene,98-95-3,Y,—,—,—,1.2,0.2,211,5.7,2.013,88,Yes,
,267,Nitroethane,79-24-3,Y,—,—,—,1.05,4.5,114,-50,0.67,28,—,
[268] NITROPROPANES,,,,,,,,,,,,,,,
,268,1-Nitropropane,0108-03-02,Y,—,—,—,1,1.7,132,-108,—,33,—,
,268,2-Nitropropane,79-46-9,Y,—,—,—,0.99,1.7,120,-93,0.77,24,—,
,269,n-Octyl Acetate,112-14-1,Y,—,—,—,0.872,Insoluble,200,-38,—,83,—,
,270,Nonanoic Acid,112-05-0,Y,A,L2,A,0.906,Insoluble,252,13,—,100,—,
,271,1-Nonanol,0143-08-08,Y,A,L2,A,0.828,Insoluble,213,-11,10.73,98,—,
,272,Nonene,27215-95-8,Y,—,—,—,0.74,Insoluble,134,-76,0.8,20,Yes,
,273,Nonylphenol,25154-52-3,X,—,—,—,0.95,0.3,295,2,563,140,—,
,274,Norm-Alkanes (C10+),8002-74-2,Y,—,—,—,0.77 (Approx.),Insoluble,240,8,2.6 (@40°C),115,—,
,275,n-Butanol,71-36-3,Z,A,L2,A,0.81,8,118,-89,2.95,29,—,
,276,n-Butyl Acrylate,141-32-2,Y,B,—,—,0.9,0.2,147,-65,0.84,37,Yes,
,277,n-Butylamine,109-73-9,Y,—,—,—,0.74,Complete,78,-50,0.68,-12,—,
,278,n-Butyl Butyrate,109-21-7,Y,—,—,—,0.87,Insoluble,165,-92,1 (Approx.),50,—,
,279,Norm-Butyl Methacrylate,97-88-1,Z,—,—,—,0.89,@25°C,163,-50,0.94 (@25°C),48,Yes,
,280,Norm-Dodecane,112-40-3,Y,—,—,—,0.75,Insoluble,216,-10,1.35,74,,
,281,Norm-Heptane,142-82-5,X,A,L2,A,0.7,Insoluble,90,-91,1,-5,Yes,
,282,Norm-Heptanoic Acid,111-14-8,Z,A,L2,A,0.918,0.24,223,-7.5,—,107,,
,283,Norm-Heptenes (Mixed Isomers),25339-56-4,Y,—,—,—,0.7,Insoluble,95,-110,0.35,-6,Yes,
,284,Norm-Hexane,110-54-3,Y,A,L2,A,0.66,Insoluble,69,-95,0.3 (@25°C),-22,Yes,
,285,Norm-Nonane,111-84-2,X,A,L2,—,0.718,Insoluble,151,-51,0.72,31,Yes,
,286,Norm-Pentane,109-66-0,Y,A,L2,A,0.63,Insoluble,36,-130,0.24,-35,Yes,
,287,Norm-Propanol,71-23-8,Y,A,L2,A,0.805,Complete,97,-127,2,24,,
,288,Norm-Propanolamine,156-87-6,Y,—,—,—,0.98,Complete,184,12,—,80,,
,289,Norm-Propyl Acetate,109-60-4,Y,A,L2,A,0.888,2,101.5,-93,0.6,12,Yes,
,290,N-Propylamine,0107-10-8,Z,B,—,—,0.714,Complete,47.8,-83,—,-37,,
,291,1-Octadecanol,112-92-5,Y,A,L2,A,0.81 (@60°C),Insoluble,340,55,—,—,,
[292] OCTANES,,,,,,,,,,,,,,,
,292,Isooctane,540-84-1,X,—,—,—,0.7,Insoluble,99,-107,—,-12,Yes,
,292,Norm-Octane,111-65-9,X,—,—,—,0.703,Insoluble,126,-57,0.55,12,Yes,
,292,Octanes (Mixed Isomers),111-65-9,X,—,—,—,0.7,Insoluble,130,-60,—,-12,Yes,
,293,Octanoic Acid (All Isomers),0124-07-02,Y,A,L2,A,0.91,Insoluble,237,16,—,110,,
,294,1-Octanol,111-87-5,Y,A,L2,A,0.83,0.6,195,-16,8.93,81,,
,295,Octenes (Mixed Isomers),25377-83-7,Y,—,—,—,0.72,Insoluble,124,-101,—,21,Yes,
[296] OLEFINS (C13+),,,,,,,,,,,,,,,
,296,1-Hexadecene,629-73-2,Y,—,—,—,0.781,Insoluble,274,4,—,93,,
,296,Neodene 1314 Internal Olefin (Shell),—,Y,—,—,—,0.77,Insoluble,233,-14,1.925,94,Yes,
,296,Neodene 1416 (Shell),1120-36-1,Y,—,—,—,0.778,Insoluble,238,-9,2.4,110,Yes,
,296,Neodene 1418 (Shell),—,Y,—,—,—,0.787 (@15.6°C),Insoluble,241,5,2.34,100,Yes,
,296,Neodene 1518 Internal Olefin (Shell),93762-80-2,Y,—,—,—,0.79,Insoluble,259,-6,3.55,135,Yes,
,296,Neodene 16 (Shell),629-73-2,Y,—,—,—,0.781,Insoluble,272,2.2,3.1,132,Yes,
,296,Neodene 16/18 (Shell),—,Y,—,—,—,0.788 (@16°C),Insoluble,270,12.2,3.62,130,Yes,
,296,Neodene 20/22 (Shell),—,Y,—,—,—,0.79 (@30°C),Insoluble,367,30,4 (@40°C),172,Yes,
,296,Neodene 2024 (Shell),93924-10-8,Y,—,—,—,0.79 (@30°C),Insoluble,367,29,4 (@40°C),172,Yes,
,296,Neoflo 1-58 (Shell),93762-80-2,Y,—,—,—,0.787,Insoluble,268,-12,4.5,135,Yes,
,296,Neoflo 1-6 (Shell),629-73-2,Y,—,—,—,0.78,Insoluble,272,2.2,3.1,130,Yes,
,296,Neoflo 1-68 (Shell),—,Y,—,—,—,0.788,Insoluble,287,12.2,3.6,135,Yes,
,296,Neoflo 1-681 (Shell),—,Y,—,—,—,0.788,Insoluble,287,-4,7.4,141,Yes,
,296,Neoflo 2-46 (Shell),—,Y,—,—,—,0.775,Insoluble,249,-8,3.1,115,Yes,
,296,Neoflo 2-48 (Shell),—,Y,—,—,—,0.778,Insoluble,225,-2,3.9,115,Yes,
,296,1-Octadecene,27070-58-2,Y,—,—,—,0.792,Insoluble,307,17,4.3,156,,
,296,1-Pentadecene,13360-61-7,Y,—,—,—,0.775,Insoluble,268,8,—,112,,
,296,1-Tetradecene,1120-36-1,Y,—,—,—,0.775,Insoluble,251,-13,2.18,110,,
,296,1-Tridecene,2437-56-1,Y,—,—,—,0.766,Insoluble,232,-24,1.63,79,,
,297,Oleic Acid,112-80-1,Y,A,L2,A,0.894,Insoluble,90,14,38.8,189,,
,298,Olive Oil,8001-25-0,Y,A,L1,A,0.915,Insoluble,290,-6,79,220,,
,299,O-Nitrophenol (Molten),88-75-5,Y,—,—,—,1.66,0.25,215,44,—,102,,
,300,Ortho-Dichlorobenzene,95-50-1,X,—,—,—,1.306,Insoluble,180,-17,0.75,66,,
,301,Ortho-Nitrotoluene,88-72-2,Y,—,—,—,1.2,Insoluble,222,-6,2.37,106,,
,302,Ortho-Toluidine,95-53-4,Y,—,—,—,1,1.5,200,-16,4.39,85,,
,303,Palm Fatty Acid Distillate,98106-68-4,Y,A,L2,A,0.88 (@50°C),Insoluble,—,40,—,100,,
,304,Palm Kernel Fatty Acid Distillate,101403-98-9,Y,A,L2,—,0.84,Insoluble,240,20,—,100,,
,305,Palm Mid Fraction,—,Y,—,L1,—,0.85 (@40°C),Insoluble,250,25,—,260,,
,306,Palm Oil,8002-75-3,Y,A,L1,A,0.90 (@40°C),Insoluble,250,34,50 (@44°C),162,,
,307,Palm Oil Fatty Acid Methyl Ester,67784-80-9,Y,A,L2,A,0.88,Insoluble,200,17.5,4.5,100,,
,308,Palm Oil Mill Effluent,8002-75-3,Y,B,—,—,0.90 (@40°C),Insoluble,250,36,50 (@38°C),—,,
,309,Palm Oil Mill Effluent Oil Fatty Acid Distillate,68440-15-3,Y,—,—,—,0.86 (@50°C),Insoluble,200,30,5 (@90°C),150,,
,310,Palmitic Acid,57-10-3,Y,A,L2,A,0.853 (@62°C),Insoluble,350,62,7 (@80°C),100,,
,311,Palm Kernel Fatty Acid,—,Y,A,L2,A,0.86 (@60°C),Insoluble,—,50,—,—,,
,312,Palm Kernel Oil,8023-79-8,Y,A,L1,A,0.90 (@40°C),Insoluble,—,26,—,203,,
,313,Palm Kernel Stearin,8023-79-8,Y,A,L1,A,0.91 (0.91–0.93),Insoluble,250,32,—,240,,
,314,Palm Olein,8002-75-3,Y,A,L1,A,0.89 (@30°C),Insoluble,—,19,50 (@29°C),—,,
,315,Palm Stearin,—,Y,A,L1,A,0.89 (@55°C),Insoluble,177,47,—,160,,
,316,PARA-CYMENE,99-87-6,Y,–,–,–,0.86,Insoluble,177,-68,–,47,–,
,317,PARAFFIN WAX,8002-74-2,Y,A,L2,A,0.77,Unknown,–,45,–,–,–,
,318,PARALDEHYDE,123-63-7,Z,–,–,–,0.99,Partly Soluble,124,12,–,17,–,
,319,PARA-NITROTOLUENE,99-99-0,Y,–,–,–,1.29,Insoluble,238,53,–,106,–,
,320,PARA-VINYLTOLUENE,622-97-9,Y,B,–,–,0.9,Insoluble,170,-77,–,53,–,
,321,PENTACHLOROETHANE,76-01-7,Y,–,–,–,1.69,Insoluble,162,-29,–,–,–,
,322,"1,3-PENTADIENE",504-60-9,Y,–,–,–,0.68,Insoluble,42,-87,0.28,-28,–,
,323,PERCHLOROETHYLENE,127-18-4,Y,B,–,–,1.6221,Insoluble,121,-23,0.841,–,–,
,324,PETROLATUM,8009-03-08,X,–,–,–,0.829 (@50°C),Insoluble,150,38,16 (@54°C),185,–,
,325,PETROLEUM WAX,8002-74-2,X,A,L2,A,0.833 (@15°C),Insoluble,345,50,–,190,–,
,326,PHENOL,108-95-2,Y,–,–,–,1.071,Moderate,181,41,3.6,79,–,
,327,PHOSPHORIC ACID,7664-38-2,Z,A,L1,A,1.69 (@25°C),Complete,185,21,–,–,–,
[328] PHTHALATES,,,,,,,,,,,,,,,
,328,BUTYLBENZYLPHTHALATE,85-68-7,X,B,–,–,1.12,Insoluble,370,-35,25.7,199,–,
,328,DI(2-ETHYLHEXYL)PHTHALATE,117-81-7,Y,B,–,–,0.98,Insoluble,385,-50,81,188,–,
,328,DIALKYL (C9-C10) PHTHALATES,68515-48-0,Y,B,–,–,0.97,Insoluble,300,-45,95 (Approx.),200,Yes,
,328,DIALKYLPHTHALATE,39393-37-8,X,B,–,–,0.953,Insoluble,336,-40,–,–,–,
,328,DIBUTYLPHTHALATE,84-74-2,X,B,–,–,1.05,Insoluble,340,-35,20,157,–,
,328,DIETHYLPHTHALATE,84-66-2,Y,B,–,–,1.12,Insoluble,299,-3,12.1,150,–,
,328,DIHEPTYLPHTHALATE,3648-21-3,Y,B,–,–,1.00 (Approx.),Insoluble,–,-55,31,230,–,
,328,DIHEXYLPHTHALATE,84-75-3,Y,B,–,–,1.00 (Approx.),Insoluble,350,-58,–,177,–,
,328,DIISOBUTYLPHTHALATE,84-69-5,X,B,–,–,1.04,Insoluble,327,-64,41.6,160,–,
,328,DIISODECYLPHTHALATE,68515-49-1,X,B,–,–,0.97,Insoluble,250,-50,114,232,Yes,
,328,DIISONONYLPHTHALATE,28553-12-0,Y,B,–,–,0.97,Insoluble,250,-48,94,214,Yes,
,328,DIISOOCTYLPHTHALATE,27554-26-3,Y,B,–,–,0.99,Insoluble,370,-43,60,204,–,
,328,DIMETHYLPHTHALATE,0131-11-3,Y,B,–,–,1.19,0.4,284,0,17,146,–,
,328,DINONYLPHTHALATE,84-76-4,Y,B,–,–,0.979,Insoluble,–,–,166,215,–,
,328,DITRIDECYLPHTHALATE,0119-06-02,Y,B,–,–,0.951,Insoluble,400,-37,190,237,Yes,
,328,DIUNDECYLPHTHALATE,3648-20-2,Y,B,–,–,0.95,Insoluble,400,-35,141,254,Yes,
,328,EMOLTENE 100,53306-54-0,Y,B,–,–,0.96,Insoluble,252,-48,120 (@20°C),220,–,
,328,N-OCTYL-N-DECYL PHTHALATE,0119-07-03,X,B,–,–,0.97,Insoluble,250,-48,97,214,–,
[329] PICOLINES,,,,,,,,,,,,,,,
,329,β-PICOLINE,108-99-6,Z,–,–,–,0.96,Complete,144,-18,–,40,–,
,329,α-PICOLINE,0109-06-08,Z,–,–,–,0.94,Complete,129,-67,–,27,–,
,329,γ-PICOLINE,108-89-4,Z,–,–,–,0.96,Complete,145,3.7,–,40,–,
[330] PINENES,,,,,,,,,,,,,,,
,330,ALPHA-PINENE,80-56-8,X,–,–,–,0.86,Insoluble,156,-55,–,33,–,
,330,BETA-PINENE,127-91-3,X,–,–,–,0.859,0.0005,167,-61,–,47,–,
,331,PINE OIL,8002-09-03,X,A,–,A,0.86,Insoluble,200,–,–,57,–,
,332,POLYETHYLENE GLYCOLS,25322-68-3,Z,–,–,–,1.127 (Lower Limit),Complete,200,-8,6,218,–,
,333,POLYMETHYLENE POLYPHENYL ISOCYANATE,9016-87-9,Y,B,–,–,1.23 (@25°C),Reaction,230,10,50 (@50°C),204,–,
,334,POLYPROPYLENE GLYCOLS,25322-69-4,Z,A,L2,A,1.01 (Approx.),Insoluble,–,-30,560 (Approx.),170,–,
,335,POTASSIUM HYDROXIDE SOLUTION (45%),1310-58-3,Y,A,L2,A,1.45,Complete,132,-29,–,–,–,
,336,"1,3-PROPANEDIOL",504-63-2,OS,A,L2,A,1.053,Complete,214,-27,52,129,–,
,337,PROPIONALDEHYDE,123-38-6,Y,–,–,–,0.807,21,49,-81,0.344,-22,–,
,338,PROPIONIC ACID,79-09-4,Y,–,–,–,0.995,Complete,105,-20,1.02,50,–,
,339,PROPIONIC ANHYDRIDE,123-62-6,Y,–,–,–,1.01,Reaction,167,-45,1.12,74,–,
,340,PROPIONITRILE,107-12-0,Y,–,–,–,0.78,15,97,-92,–,2,–,
,341,PROPYL CHLORIDE,540-54-5,–,–,–,–,0.891,0.27,47,-123,–,-20,Yes,
,342,PROPYLENE TETRAMER,6842-15-5,X,A,L2,A,0.76,Insoluble,213,-35,1.3,58,–,
,343,PROPYLENE TRIMER,27215-95-8,Y,–,–,–,0.74,Insoluble,134,-76,0.8,25,Yes,
,344,PROPYLENE DICHLORIDE,78-87-5,Y,–,–,–,1.155,Slight,96,-100,0.86,15,Yes,
,345,PROPYLENE GLYCOL,57-55-6,OS,A,L1,A,1.0366,Complete,187,-20,43.4 (@25°C),104,–,
,346,PROPYLENE GLYCOL MONOMETHYL ETHER,107-98-2,Z,–,–,–,0.921,Complete,117,-96,–,30,–,
,347,PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE,108-65-6,Z,–,–,–,0.967,19,143,-65,–,45,–,
,348,PROPYLENE GLYCOL MONOPROPYL ETHER,1569-01-03,Z,–,–,–,0.8805 (@25°C),Complete,149,-70,2.389 (@25°C),46,–,
,349,PROPYLENE OXIDE,75-56-9,Y,B,–,–,0.83,40,35,-112,0.58,-37,Yes,
,350,PYRIDINE,110-86-1,Y,B,–,–,0.983,Complete,115,-42,0.97,17,–,
,351,PYROLYSIS GASOLINE (Containing Benzene),68606-10-0,Y,–,–,–,0.84,Insoluble,40,-50,1 (@25°C),-30,Yes,
,352,RAPESEED OIL,8002-13-9,Y,–,–,–,0.915,Insoluble,350,0,60 (60–70),300,–,
,353,RAPESEED OIL (Low Erucic Acid),120962-03-0,Y,A,L1,A,0.915,Insoluble,–,-8,60 (Approx.),–,–,
,354,REFORMATE (C7–C13),68955-35-1,A1,–,–,–,0.8 (0.8–1.0),Insoluble,227,–,–,99,Yes,
,355,RENEWABLE DIESEL,–,A1,–,–,–,0.78 (0.77–0.79),Insoluble,180,-20,5,61,Yes,
,356,RENEWABLE NAPHTHA,–,A1,–,–,–,0.67,Insoluble,40,-60,0.335 (@25°C),0,–,
,357,"RESIDUAL MARINE FUELS, LOW SULFUR",68476-33-5,A1,B,–,–,0.991 (@15°C),Insoluble,160,30,380 (@50°C),62,Yes,
,358,SAFFLOWER OIL,8001-23-8,Y,A,L1,A,0.921,Insoluble,300,0,20,250,–,
,359,SEC-BUTANOL,78-92-2,Z,–,–,–,0.81,Partly Soluble,100,-115,3.5,24,–,
,360,SHELL GTL KEROSENE,848301-66-6,A1,–,–,–,0.73 (0.73–0.77 @15°C),Negligible,150,–,0.75 (Approx.),40,Yes,
,361,SHELL GTL WAXY RAFFINATE,848301-87-1,A1,–,–,–,0.81 (@15°C),Negligible,280,9,16.1 (@40°C),200,–,
[362] SHELLSOLS,,,,,,,,,,,,,,,
,362,SHELLSOL 15,–,A1,–,–,–,0.793 (@15°C),Insoluble,157,–,–,43,Yes,
,362,SHELLSOL A100,64742-95-6,A1,–,–,–,0.88,Insoluble,150,-25,0.9,38,Yes,
,362,SHELLSOL A150,64742-94-5,A1,–,–,–,0.88 (Lower Limit),Insoluble,179,-20,–,62,Yes,
,362,SHELLSOL D100,64742-47-8,A1,–,–,–,0.797 (@15°C),Insoluble,238,-26,2.9 (@25°C),103,Yes,
,362,SHELLSOL D40,64742-48-9,A1,–,–,–,0.77 (@15°C),Insoluble,149,–,–,40,Yes,
,362,SHELLSOL D60,64742-48-9,A1,–,–,–,0.781 (Approx.),Insoluble,179,-50,1.6 (@25°C),61,Yes,
,362,ShellSol D70,64742-47-8,A1,-,-,-,0.792,Insoluble,203,-50,1.56 (@25°C),78,Yes,
