,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,36,TERT-BUTYL ACETATE,540-88-5,Y,A,L2,A,0.8817,0.8,98,,,15,,
,37,BUTYLBENZENES (MIXED ISOMERS),104-51-8,X,,,,0.9,INSOLUBLE,169,-51,,34,YES,
,38,"1,2-BUTYLENE OXIDE",106-88-7,Y,,,,0.83,7,63,-150,0.4,-15,YES,
,39,BUTYRIC ACID,107-92-6,Y,A,L2,A,0.96,COMPLETE,164,-5,1.65,72,,
,40,CALCIUM LIGNOSULFONATE,8061-52-7,Z,A,L2,,1.27,100,100,0,3000 (MAX),,,
,41,CAPROLACTAM,105-60-2,Z,,,,1.02 (@77°C),82,270,69,9,110,,
,42,CARBON BLACK FEEDSTOCK,64742-90-1,A1,B,,,1.05,UNKNOWN,170,-20,215 (@40°C),62,,
,43,CARBON TETRACHLORIDE,56-23-5,Y,B,,,1.594,INSOLUBLE,77,-23,0.952,,,
,44,CASHEW NUT SHELL OIL,8007-24-7,Y,B,,,0.95 (@30°C),INSOLUBLE,180,25,400,100,,
,45,CASTOR OIL,8001-79-4,Y,A,L1,A,0.96,INSOLUBLE,265,-10,900 (625-1040),250,,
,46,CHLOROACETIC ACID LIQUID (80% OR LESS),79-11-8,Y,,,,1.5 (MIN),COMPLETE,189,61,,126,,
,47,CHLOROBENZENE,108-90-7,Y,,,,1.1,INSOLUBLE,132,-45,0.8,29,,
,48,CHLOROFORM,67-66-3,Y,,,,1.488,0.8,61,-64,0.57,,,
,49,2-CHLOROPROPIONIC ACID,598-78-7,Z,,,,1.3,COMPLETE,185,-12,,107,,
[50] CHLOROTOLUENES,,,,,,,,,,,,,,,
,50,CHLOROTOLUENES (MIXED ISOMERS),25168-05-02,Y,,,,1.07,INSOLUBLE,160,8,,50,,
,50,META-CHLOROTOLUENE,108-41-8,Y,,,,1.07,INSOLUBLE,162,-48,,48,,
,50,ORTHO-CHLOROTOLUENE,95-49-8,Y,,,,1.08,INSOLUBLE,159,-35,,47,,
,50,PARA-CHLOROTOLUENE,106-43-4,Y,,,,1.065,INSOLUBLE,162,8,,43,,
,51,CITRIC ACID SOLUTION,77-92-9,Z,,,,1.24 (50% SOLUTION),COMPLETE,103,0,,,,
,52,COAL TAR,8007-45-2,X,,,,1.19 (1.12-1.20),INSOLUBLE,100,0,400 (Approx.),105,,
,53,COCONUT OIL FATTY ACID METHYL ESTER,61788-59-8,Y,A,L2,A,0.85 (@40°C),INSOLUBLE,150,17,LOW,120,,
,54,COCONUT OIL FATTY ACID,61788-47-4,Y,A,L2,A,0.89 (@25°C),INSOLUBLE,160,25,7.3 (@50°C),157,,
,55,COCONUT OIL,8001-31-8,Y,A,L1,A,0.92,INSOLUBLE,175,26,50,210,,
,56,COTTONSEED OIL,8001-29-4,Y,A,L1,A,0.92,INSOLUBLE,315,5,80,252,,
,57,CREOSOTE (COAL TAR),8001-58-9,X,,,,1.07,INSOLUBLE,195,,5,74,,
,58,CRESOLS (MIXED ISOMERS),1319-77-3,Y,,,,1,SLIGHT,200,12,8.2,80,,
,59,CROTONALDEHYDE,4170-30-3,X,,,,0.85,18.1,102,-75,0.27,13,YES,
