,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,,,,,,,,,,,,,,,,,,,May req. require heating in cold climate.
Dipentene,,.840,,,3,2g,C,Y,30,176,-75,48,48,N,,pale ,N,2052,"Oil grade, 48C adjacent ok. Turpentine grade, no"
,"Orange oil, dimonene",,,,,,,,,,,,,,,to,,,"heat adjacent. Warm wash, use Stolt A or B for spots"
,Limonene,,,,,,,,,,,,,,,ww,,,Compliance cargo because of pollution hazards.
,"Mentha-1,8-diene-p",,,,,,,,,,,,,,,,,,
,Phellandrene,,,,,,,,,,,,,,,,,,
,Terpinene,,,,,,,,,,,,,,,,,,
,Terpodiene-1.8-d,,,,,,,,,,,,,,,,,,
Diphenyl oxide,,1.070,,,3,,,N,33,260,26,96,Y,46,,ww,N,,"Tpxic by inhalation. Not yet classified, but should"
,Diphenyl ether,,,,,,,,,,,,,,,,,,be noncompliance. Heating required. check.
,Phenyl ether,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
,Phenoxy benzene,,,,,,,,,,,,,,,,,,
"Diphenyl oxide, Diphenyl phenyl ether mix",,1.115,15,,3,2g,A,Y,41,290,-5,90,?,N,N,,N,,Heat transfer media from Dow. Should be easy
,Dowtherm G,,,,,,,,,,,,,,,,,,"product. Not in any coating resistancy lists, but "
,,,,,,,,,,,,,,,,,,,"should be ok for all. Clean with warm water, ventilate."
Diphenyl/diphenyl oxide mixtures,,1.060,,,2,2g,A,Y,33,,11,107,27,21,27,ww,,,Should be easy cargo. Heat transfer fluid. Get
,,,,,,,,,,,,,,,,,,,heating instructions. Compliance cargo because of
,,,,,,,,,,,,,,,,,,,"pollution hazards. Clean with warm water, steam"
,,,,,,,,,,,,,,,,,,,and ventilate.
Diphenyl. Crude,,1.080  ,50,.00080,2,2g,A,Y,32,140,42,82,Y,65,70,straw,N,,Compliance because of pollution hazards. Compo-
,,,,,,,,,,,,,,,,,,,sition: Dphenyl 67% Naphtalene 3% Aromatic C-9 
,,,,,,,,,,,,,,,,,,,"8%, Aromatic C-10 22%. Carriage req could change "
,,,,,,,,,,,,,,,,,,,"if composition significantly different. High heat, "
,,,,,,,,,,,,,,,,,,,"check exact requirements. Clean with hot water,"
,,,,,,,,,,,,,,,,,,,use Stolt A or B if necessary.
Diphenylmethane diisocyanate,,1.230,25,.00098,2,2g,B,Y,12,200,4,218,37,26,,yellow,N,2489,Consult Stolt handling Manual.
,Mdi,,,,,,,,,,,,,,,,,,No zinc if inhibited with ammonia.
,Carwinate 125 m,,,,,,,,,,,,,,,,,,
,Multrathane M,,,,,,,,,,,,,,,,,,
,Nacconate 300,,,,,,,,,,,,,,,,,,
,Vilrathane 4300,,,,,,,,,,,,,,,,,,
Dipropylene glycol,,1.025,15,.00075,3,,N,N,40,226,,137,49,N,N,ww,Y,,Very fine glycol which may req. wall wash test.
,,,,,,,,,,,,,,,,,,,Zinc stow  may not be acceptable - check.
,,,,,,,,,,,,,,,,,,,Dow requiere N2 padding. Poll cat. Appendix III
Distillate Flashed feed stocks,,.750,15,,3,,N,N,33,135,,,,N,,c-less,N,,Get specs. prior booking. Not  listed in coating
,,,,,,,,,,,,,,,,,,,"resistancy lists, but should be ok all. Classified by"
,Petroleum distillate,,,,,,,,,,,,,,,,,,"USCG as noncompl, not listed IMO code."
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
Distillate straight run,,.731,,,3,,,N,33,,,,,N,,c-less,N,,Get specs. prior booking. Not  listed in coating
,,,,,,,,,,,,,,,,,,,"resistancy lists, but should be ok all. Classified by"
,Petroleum distillate,,,,,,,,,,,,,,,,,,"USCG as noncompl, not listed IMO code."
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
Diundecyl phthalate,,,,,3,,N,N,34,,,,,,,,,,"Have limited infos. this product, must have full specs"
,,,,,,,,,,,,,,,,,,,Should be easy cargo. Marpol appendix 3.
Dobanols,,,,,,,,,,,,,,,,,,,
,Dobanols EX 23-2,.910,,,3,,,N,20,176,7,93,Y,30,38,clear,,,Dobanols are high grade Fatty Alcohols witch  req.
,"Dobanols EX 23-6,6",.960,,,3,,,N,20,176,7,93,Y,30,38,clear,,,good coated and cleaned tanks. Dobanols are 
,Dobanols EX 235-3,.920,,,3,,,N,20,176,4,93,Y,38,38,clear,,,colorsensitive for heat and instructions must be 
,Dobanols EX 25-3,.930,,,3,,,N,20,176,7,93,Y,38,38,clear,,,strictly followed. Heat adjacent normally accepted
,Dobanols EX 25-7,.970,,,3,,,N,20,176,22,93,Y,38,49,white,,,Check each grade. Clean as for coconut oil.
,Dobanols EX 25-9,.980,,,3,,,N,20,176,25,93,Y,43,55,white,,,Uncertain as to pollution categories.
,Dobanols EX 45-11,.990,,,3,,,N,20,176,29,93,Y,43,57,white,,,
,Dobanols EX 45-18,1.020,,,3,,,N,20,176,37,93,Y,Y,58,white,,,
,Dobanols EX 45-7,.960,,,3,,,N,20,176,22,93,Y,37,49,white,,,
,Dobanols EX 91-6,.980,,,3,,,N,20,176,4,93,Y,27,38,clear,,,
,Dobanols EX 91-6,.990,,,3,,,N,20,176,7,93,Y,30,38,clear,,,
,Dobanols EX 91-8,1.000,,,3,,,N,20,176,15,93,Y,32,49,clear,,,
,Dobanols EX 23,.830,,,3,,,N,20,275,18,132,37,32,49,ww,,,
,Dobanols EX 25,.830,,,3,,,N,20,293,21,137,37,32,49,ww,,,
,Dobanols EX 29,.830,,,3,,,N,20,,60,,35,29,38,ww,,,
,Dobanols EX 35,.830,,,3,,,N,20,,70,,35,32,49,ww,,,
,Dobanols EX 45,.830,,,3,,,N,20,151,29,151,37,38,54,ww,,,
,Dobanols EX 91,.830,,,3,,,N,20,247,-9,107,37,N,N,ww,,,
Dodecane,,.750,,,3,,N,N,31,216,-23,74,?,N,,clear,N,,ww standard. easy cargo. Marpol appendix 3.
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate Product is not misc-"
,,,,,,,,,,,,,,,,,,,"ible with water, may have to use Stolt A or B for final "
,,,,,,,,,,,,,,,,,,,cleaning.
Dodecanol,,.830,24,,3,2g,B,Y,20,259,24,100,Y,Y,,c-less,Y,,Fatty  alcohol. Get heating instructions. Color sensi-
,Dodecyl alcohol,,,,,,,,,,,,,,,,,,"tive for heat, heat caregully. clean with warm water"
,Lauryl alcohol,,,,,,,,,,,,,,,,,,use Stolt C for spots. Compliance cargo because
,Coco fatty alcohol,,,,,,,,,,,,,,,,,,of poll. hazards.
Dodecyl diphenyl oxide disulfonate so.,,1.175,15,.00058,3,2g,B,Y,43,100,-4,,49,30,35,,Y,,ww standard. easy product from Dow. Clean with 
,,,,,,,,,,,,,,,,,,,"warm water, ventilate.  mix compl with water."
,Dowfax 2a1,,,,,,,,,,,,,,,,,,Dow req. N2 padding. Viscosity and melting point
,,,,,,,,,,,,,,,,,,,infos req.
Dodecyl methacrylate,,.870,15,,3,2g,N,Y,14,272,-40,132,N,N,N,drk,N,,ww standard. no bulkhead test. inhibited..
,,,,,,,,,,,,,,,,amber,,,No adjacent  heat. Clean with cold water immediatly
,Lauryl methacrylate,,,,,,,,,,,,,,,,,,"after discharge, than warm water, steam for odor"
,,,,,,,,,,,,,,,,,,,and ventilate. Marpol appendix 3.
Dodecyl/pentadecyl methacrylate mixture,,.860,,,3,2g,N,Y,14,290,-7,101,37,N,,amber,N,,ww standard. no bulkhead test. inhibited..
,,,,,,,,,,,,,,,,,,,"No adjacent  heat. Clean with cold water first, than "
,,,,,,,,,,,,,,,,,,,"followed by warm, steam for odor. Marp.app. 3."
Dodecylbenzene,,.800,,,3,2g,C,Y,32,260,,121,49,N,,ww,N,,ww standard. Warm wash. Avoid high heat adjacent
,Dobane shelll,,,,,,,,,,,,,,,,,,"If next cargo req. wall wash for hydrocarbons, spray"
,Alkyl benzene hansen,,,,,,,,,,,,,,,,,,"tank with Stolt A or B, rinse and steam."
,Alkane Chevron,,,,,,,,,,,,,,,,,,
,Alkylate Monsanto,,,,,,,,,,,,,,,,,,
,Alkyl benzol Conoco,,,,,,,,,,,,,,,,,,
,Neolene Conoco,,,,,,,,,,,,,,,,,,
,Nalkylene conoco,,,,,,,,,,,,,,,,,,
,Detergent alkylate Rohm & Gamble,,,,,,,,,,,,,,,,,,
,Escane imperial,,,,,,,,,,,,,,,,,,
,Ucane alkylate ucc,,,,,,,,,,,,,,,,,,
,Marlican Huels,,,,,,,,,,,,,,,,,,
,Linear alkyl benzene Procter & Gamble,,,,,,,,,,,,,,,,,,
,Phenyldodecane-1,,,,,,,,,,,,,,,,,,
,Laurylbenzene,,,,,,,,,,,,,,,,,,
,Linear alkyl benzene,,,,,,,,,,,,,,,,,,
Dodecylphenol,,.940,20,,1,2g,A,Y,21,154,,163,50,50,50,straw,y,,ww standard req. Product is very color sensitive for
,,,,,,,,,,,,,,,,,,,rapid temperature changes. heat carefully. Clean
,,,,,,,,,,,,,,,,,,,"with hot water, if odor problem, steam and ventilate."
Dp SC-0590,,.950,21,,3,2g,B,Y,34,,,100,,,,,N,,A mixture of Texacos pentanediols and Tall oil.
,,,,,,,,,,,,,,,,,,,Tripartite agreement between USA/Liberia and
,Shurcoal,,,,,,,,,,,,,,,,,,Australia. Must be carried under n.o.s. entry 11.
,,,,,,,,,,,,,,,,,,,Prewash caargo unless heated to above 65C check
,,,,,,,,,,,,,,,,,,,"Warm water, Stolt C if necessary."
Drilling oil,,.814,15,.00080,3,,N,N,33,190,,70,40,N,N,ww,negl,,Handle as Kerosene Marpol annex 1
,Mud oil,,,,,,,,,,,,,,,,,,
,Drilling mud oil,,,,,,,,,,,,,,,,,,
Epichlorohydrin,,1.185,15,.00123,2,2g,C,Y,17,116,-57,40,30,N,N,ww,sli,2023,Poisinous cargo. Max heat adjacent 90f (Dow). 
,Epi,,,,,,,,,,,,,,,,,,Get specification before booking and consult SS/
,Epoxyproopane-3,,,,,,,,,,,,,,,,,,coating resist. lists. Clean with ambient temp. water
,Chloromethyloxirane,,,,,,,,,,,,,,,,,,ventilate.
,Propylene oxide-g,,,,,,,,,,,,,,,,,,
,Propylene oxide-2,,,,,,,,,,,,,,,,,,
Epoxy fatty acid ester henkel,,.980,15,,3,,,N,34,260,,260,38,N,N,yellow,N,,ww standaard .Hot wash. Use Stolt C for spots.
Epoxy fatty acid ester monsanto,,.940,35,,3,,,N,34,260,10,160,49,30,35,pale,N,,ww standard. easy product. Get heating instructions.
,,,,,,,,,,,,,,,,,,,"Clean with warm water, use Stolt C for spots."
Ethane,,.450,,,,,N,Y,31,-88,-183,-135,N,N,N,c-less,N,,Gas code
,Methylethane,,,,,,,,,,,,,,,,,,
,Dimethyl,,,,,,,,,,,,,,,,,,
Ethanolamine-mono,,1.018,15,.00075,3,2g,D,Y,8,170,10,85,49,35,42,ww,Y,2491,ww standard. no wall wash test. Get heating instructio
,Mea,,,,,,,,,,,,,,,,,,Some shippers like DOW will not accept Phenolic.
,Colamine,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate. DOW req.N2."
,Aminoethanol-2,,,,,,,,,,,,,,,,,,
,Hydroxethylamine-2,,,,,,,,,,,,,,,,,,
Ethoxylated alcohol,,1.000,31,,3,,,N,20,176,4,38,58,16,38,ww,N,,this is a fine grade Fatty Alcohol which req. good 
,,,,,,,,,,,,,,,,,,,coated tank.  Get heating instructions and heat 
,Dobanol 98-8 Reprocessed,,,,,,,,,,,,,,,,,,"carefullly. There is several different grades, check"
,,,,,,,,,,,,,,,,,,,"Clean with earm eater, ude Stolt C if necessary."
,,,,,,,,,,,,,,,,,,,Could be compliance cargo and prewash.
,,,,,,,,,,,,,,,,,,,Check grade and composition.
Ethoxytriglycol,,1.020,,,3,,D,N,40,255,-19,135,49,N,N,ww,N,,"ww standare, no bulkhead test. Handle as other "
,Glycol ether ucc,,,,,,,,,,,,,,,,,,Glycol  ethers. Clean with ambient temp. water.
,Dowanol te,,,,,,,,,,,,,,,,,,Correct IMO name; Triethylene Glycol ethyl ether.
,Ethoxytriethylene Glycol,,,,,,,,,,,,,,,,,,
,Triethylene glycol monoethylether,,,,,,,,,,,,,,,,,,
,Triglycol monoethylether,,,,,,,,,,,,,,,,,,
Ethylacetate,,.900,20,.00120,3,,,N,34,77,-82,-4,38,N,N,ww,2,1173,ww standard. (Celanese req bulkheadtest. filter).
,Ethyl ester,,,,,,,,,,,,,,,,,,N2 blanket recommended on slack tank.
,Acetic ester,,,,,,,,,,,,,,,,,,"Clean with ambient temp water, ventilate."
,Acetic esther,,,,,,,,,,,,,,,,,,
,Ethyl ethanoate,,,,,,,,,,,,,,,,,,
,Viegar naphtha,,,,,,,,,,,,,,,,,,
Ethyl acetoacetate,,1.030,15,,3,,D,N,34,181,-45,85,N,N,N,ww,Y,,Very clean tank as used as afood additive. Cold
,"Acetoacetic acid, Ethyl ester",,,,,,,,,,,,,,,,,,wash followed by warm. use steam for odor.
,Ethyl 3 oxobutanoate,,,,,,,,,,,,,,,,,,
,"Butanoic acid, 3-oxo ethylether",,,,,,,,,,,,,,,,,,
,Diacetic ester,,,,,,,,,,,,,,,,,,
Ethyl acrylate-mono,,.920,,.00110,2,2g,B,Y,14,99,-72,15,N,N,N,ww,Y,1917,Inhibited. Vapor return. Cold wash followed by hot
,EAM,,,,,,,,,,,,,,,,,,and steam.
,Ethyl ester,,,,,,,,,,,,,,,,,,
,Ethyl 2-propenoate,,,,,,,,,,,,,,,,,,
,Ethyl acrylate,,,,,,,,,,,,,,,,,,
Ethyl alcohol,,.810,,.00085,3,,N,N,20,78,-117,12,38,N,N,ww,Y,1170,"Portable grades, very strict inspection. Wall Wash."
,,,,,,,,,,,,,,,,,,," - clorides, hydrocarbon, permanganate, and odor."
,Ethanol,,,,,,,,,,,,,,,,,,Be sure to check specs. as many diff. grades 
,Grain alcohol,,,,,,,,,,,,,,,,,,depending on use. Coatings resist. differ depending
,Denatured alcohol,,,,,,,,,,,,,,,,,,"on specs. Normally, ventilation is sufficient  for clean"
,,,,,,,,,,,,,,,,,,,if stowing Epoxy or Phenplic ventilation is  a must
,,,,,,,,,,,,,,,,,,,Check.
Ethyl amyl ketone,,.819,,,3,2g,C,Y,18,,,59,N,N,N,ww,N,,"ww standard, easy product. Clean with warm water"
,,,,,,,,,,,,,,,,,,,Ventilate.
Ethyl benzene,,.870,15,.00088,3,2g,C,Y,32,136,-95,15,38,N,N,ww,sli,1175,"Acid wash may be req. if last cargo oils or fats,check"
,EB,,,,,,,,,,,,,,,,,,"Clean with ambient temp. water, ventilate. Dow will"
,Phentylethane,,,,,,,,,,,,,,,,,,purge tank prior loading to 8% oxygen.
,Ethylbenzene,,,,,,,,,,,,,,,,,,
,Ethylbenzol,,,,,,,,,,,,,,,,,,
Ethyl butanol,,.830,20,,3,,,N,20,146,114,53,32,N,N,c-less,N,,"ww standaard, no bulkhead test. Avoid heat adjac."
,Ethylbutyl alcohol-2,,,,,,,,,,,,,,,,,,"Clean with ambient temp. water, ventilate."
,Hexyl alcohol-sec,,,,,,,,,,,,,,,,,,"Listed by USCG, but not by IMO."
,Pentyl carbinol-sec,,,,,,,,,,,,,,,,,,
,Pseudohexyl alcohol,,,,,,,,,,,,,,,,,,
Ethyl butylamine-norm,,.700,,,3,2g,C,Y,7,108,-78,18,N,N,N,ww,p.ly,,"ww standard Colorsensitive for heat, avoid heat"
,,,,,,,,,,,,,,,,,,,"adjacent. Clean with warm water, ventilate."
Ethyl cloride,,.920,,,,,,Y,36,12,-139,50,N,N,N,c-less,N,,"Req, cooling, unable to handle."
,Clorethane,,,,,,,,,,,,,,,,,,Check with Gen ops.
,Monochlorethane,,,,,,,,,,,,,,,,,,
Ethyl chlorothioformate,,1.190,20,,2,2g,,Y,,132,-60,52,N,N,N,amber,N,,Problem cargo. Reacts with water to form HCl: acid
,,,,,,,,,,,,,,,,,,,Ss and coating manuf. advises against carriage
,,,,,,,,,,,,,,,,,,,USCG comp cargo w/Trimethylhexamethylene 
,Ectf,,,,,,,,,,,,,,,,,,Diisocyanate aas ref. cargo. IMO special req.
,,,,,,,,,,,,,,,,,,,Changed to 4.9-4.12.1;(with addition of steel)-4.13-4.
,,,,,,,,,,,,,,,,,,,14-4.15 and 4.17. Must have special carriage and
,,,,,,,,,,,,,,,,,,,cleaning nstr. for this product. Not listed IMO.
Ethyl cyclo hexane,,.788,20,,3,,D,N,,132,-111,35,N,N,N,ww,,,Moore info req. Should be easy cargo. Not yet assig
,,,,,,,,,,,,,,,,,,,"temp water, ventilate."
Ethyl glycol di-ethyl ether,,.0980,20,,,,,,,208,,96,,N,N,ww,Y,,"More info req. Not yet classified for shipment, but"
,,,,,,,,,,,,,,,,,,,should be noncompliance.
Ethyl methacrylate (Inhibited),,.910,,,3,2g,D,Y,14,119,,21,N,N,N,ww,N,,Inhibited. ww standard. No heat adjacent. Clean with
,Eyhyl-2-methacrylate,,,,,,,,,,,,,,,,,,"cold water first, then warm water and steam for odor."
,Ethyl a-methylmethacrylate,,,,,,,,,,,,,,,,,,
,Ethyl 2-methyl-2 propenoate,,,,,,,,,,,,,,,,,,
,"Methacrylic acid, ethylester",,,,,,,,,,,,,,,,,,
Ethyl-2-chloro acetanilde-6,,.970,,,,,,,,160,,56,,,,lt,,,More info req. Hasnot been classified for
,,,,,,,,,,,,,,,,yellow,,,bulk shipment.
Ethyl-2-propylacrolein-3,,.850,15,,3,2g,B,Y,19,175,,68,N,N,N,yellow,N,,ww standard. No bulkhead test. Clean with cold w
,Ethylhexenal-2,,,,,,,,,,,,,,,,,,"water, then warm and steam for odor."
,Ethyl-3-propylacrylaldehyde,,,,,,,,,,,,,,,,,,
Ethylamine - pure,,.690,15,,2,1g,C,Y,7,17,-80,-18,N,N,N,ww,Y,,"Cooling or pressurized tank required, Cooling close"
,Aminoethane,,,,,,,,,,,,,,,,,,to zero centigrade will be required. dobthfull if we 
,Monoethylamine,,,,,,,,,,,,,,,,,,"can handle, maybe on our K-40."
,Mea,,,,,,,,,,,,,,,,,,"Clean with cold water, ventilate."
Ethylamine 70 %,,.790,20,,2,2g,C,Y,7,38,-80,-18,N,N,N,ww,Y,,"Check % solution, get boiling point and vapor press"
,Aminoethane,,,,,,,,,,,,,,,,,,In this case with a 70% solution we may be able 
,Monoethylamine,,,,,,,,,,,,,,,,,,carry without cooling - check. Carbozinc may be OK
,Mea 70%,,,,,,,,,,,,,,,,,,exept for salting and discoloration. Clean with cold
,,,,,,,,,,,,,,,,,,,"water, ventilate."
Ethylcyclohexylamine-norm,,.840,,,3,2g,D,Y,7,166,-43,50,N,N,N,ww,p-ly,,ww standard. No heat adjacent. Zinc stow may be 
,Poly cat 8,,,,,,,,,,,,,,,,,,OK. provided absolutley dry. Other coatings not
,,,,,,,,,,,,,,,,,,,tested. Clean with cold water. Steam if odor problem
Ethylene bottoms,,1.045,,,,,,,,179,10,80,,,,lt,,,More info req. 
,,,,,,,,,,,,,,,,brown,,,Kind of Lub oil?
Ethylene chlorohydrin,,1.210,20,.0016,2,2g,C,Y,20,129,-71,55,35,N,N,c-less,Y,1135,Toxic ww standard. See remarks in SS resistancy 
,Chloroethanol-2,,,,,,,,,,,,,,,,,,"list. Clean with ambient temp. water, ventilate."
,Chlorethanol-2,,,,,,,,,,,,,,,,,,
,Chlorethyl alcohol-2,,,,,,,,,,,,,,,,,,
,Ethylene chlorhydrin,,,,,,,,,,,,,,,,,,
,Glycol chlorohydrin,,,,,,,,,,,,,,,,,,
Ethylene cyanohydrin,,1.047,20,,3,2g,D,Y,20,229,-46,129,35,N,N,c-less,Y,,"Toxic. ww standard, no bulkhead test. Avoid heat"
,Cyanoethanol-2,,,,,,,,,,,,,,,yel-brn,,,"adjacent. Clean with ambient temp, water,ventilate"
,Glycol cyanohydrin,,,,,,,,,,,,,,,,,,
,Hydroxy Propanenitrile-3,,,,,,,,,,,,,,,,,,
Ethylene diamine,,.902,15,.00098,2,2g,C,Y,7,116,11,37,40,30,38,ww,Y,1604,ww standard. May require low heating in cold climate
,"Diamino ethane-1,2",,,,,,,,,,,,,,,,,,"Clean with warm water, steam if odor problems. Dow"
,"Ethanediamine-1,2",,,,,,,,,,,,,,,,,,request N2 padd. and heating between 30and 38C.
,EDA,,,,,,,,,,,,,,,,,,
Ethylene dibromide,,2.170,25,.00210,2,2g,B,Y,36,131,9,,38,16,16,ww,Y,1605,"Very toxic. High gravity cargo, check discharge"
,Bromofume,,,,,,,,,,,,,,,,,,condition .- -Do Not Load To Fast. Heat may be
,"Dibromo ethane-1,2",,,,,,,,,,,,,,,,,,required. (15C+) Warm wash.
,"Dowfume 40, w-10, w-15, w-40",,,,,,,,,,,,,,,,,,
,Ethylene Bromide,,,,,,,,,,,,,,,,,,
,EDB,,,,,,,,,,,,,,,,,,
,Dibromide ethane-sym,,,,,,,,,,,,,,,,,,
,Glycol dibromide,,,,,,,,,,,,,,,,,,
Ethylene dichloride,,1.258,15,.00146,2,2g,B,Y,36,85,-38,14,30,N,N,ww,p-ly,1184,"ww standard , no bulkhead  test. Check coating"
,Brocide,,,,,,,,,,,,,,,,,,resistancy if stowing in epoxy or phenolic - there 
,"Dichloroethane-1,2",,,,,,,,,,,,,,,,,,may have been changes. Clean with ambient temp.
,Dutch oil,,,,,,,,,,,,,,,,,,"water, ventilate.DOW max heat adjacent 30C"
,EDC,,,,,,,,,,,,,,,,,,
,Ethylene chloride,,,,,,,,,,,,,,,,,,
,Glycol dichloride,,,,,,,,,,,,,,,,,,
,Dutch liquid,,,,,,,,,,,,,,,,,,
"Ethylene dichloride, crude",,1.300,15,.00146,2,2g,B,Y,36,77,,14,38,N,N,ww,negl,1184,Not classified as such. but carry and handle as Edc.
,,,,,,,,,,,,,,,,,,,Mixture of several diff chlorinated solvents.Pollution
,,,,,,,,,,,,,,,,,,,"category should be B. Coatings may be OK, but "
,EDC Bottoms,,,,,,,,,,,,,,,,,,carry SS until tested. composition May change. ask
,,,,,,,,,,,,,,,,,,,for breakdown as well as water content each time.
Ethylene glycol,,1.115,15,.00070,3,,N,N,20,197,12,111,38,N,N,clear,Y,,"ww ""plus"" standard.Check grades. Fiber grade"
,"Dihydroxyethane-1,2",,,,,,,,,,,,,,,,,,"req. wall wash, very strict inspection and excellent"
,"Ethane diol-1,2",,,,,,,,,,,,,,,,,,coating cond. Avoide xcess heat adjacent . N2 may 
,Ethylene dihydrate,,,,,,,,,,,,,,,,,,be req. anyway use N2 on slack tks. Clean with amb
,Glycol,,,,,,,,,,,,,,,,,,water. Pollution category Appendix III.
,Monoethylene glycol,,,,,,,,,,,,,,,,,,
,Meg,,,,,,,,,,,,,,,,,,
,Ethylene glycol Fibre grade,,,,,,,,,,,,,,,,,,
Ethylene glycol diacetate,,1.110,,,3,,,N,34,191,-31,104,49,N,N,ww,sli,,N2 blanket nay be req. Slack tks must have N2.
,Glycol Diacetate,,,,,,,,,,,,,,,,,,ww standard. no bulkhead test. Clean with warm
,Ethylene acetate,,,,,,,,,,,,,,,,,,"water , ventilate Not listed by  IMO."
,Ethylene diacetate,,,,,,,,,,,,,,,,,,
Ethylene glycol mono phenyl ether,,1.109,20,,3,,D,N,40,244,14,171,Y,Y,Y,ww,p-ly,,"ww ""plus"" standard. May req. heat in cold climate-"
,Phenoxyethanol-2,,,,,,,,,,,,,,,,,,Dow requiresSS. Cold wash. Correct imo name:
,Phenyl cellosolve,,,,,,,,,,,,,,,,,,Ethylene Glycol Phenyl Ether
Ethylene glycol monobuyl ether,,.900,,.00088,3,,N,N,40,171,-39,65,Y,N,N,ww,sli,2369,"ww standard, easy cargo. Clean with cold water,"
,Butoxyethanol-2,,,,,,,,,,,,,,,,,,ventilate. Correct IMO name: Ethylene glycol butyl
,Butyl cellosolve,,,,,,,,,,,,,,,,,,ether.
,Dowanol EB,,,,,,,,,,,,,,,,,,
,Glycol Butyl ether,,,,,,,,,,,,,,,,,,
,Poly-solv EB,,,,,,,,,,,,,,,,,,
,Butyl oxitol Shell,,,,,,,,,,,,,,,,,,
,Butyl glycol Huels,,,,,,,,,,,,,,,,,,
,Egmbe,,,,,,,,,,,,,,,,,,
Ethylene glycol Monobutyl eter acetate,,.940,20,,3,,D,N,34,192,,87,35,N,N,ww,n,,ww standard. Avoid heat adjaacent.
,Butoxyethanol acetate-2,,,,,,,,,,,,,,,,,, N2 blanket recommended. Clean with ambient
,Butoxyethyl acetate-2,,,,,,,,,,,,,,,,,,"temp water, ventilate. Correct IMO name:"
,Butyl cellosolve acetate,,,,,,,,,,,,,,,,,,Ethylene glycol butyl ether acetate.
,Glycol Monobutyl ether acetate,,,,,,,,,,,,,,,,,,
,Cellosolve acetate ucc,,,,,,,,,,,,,,,,,,
Ethylene glycol monobutyl ether mixture,,1.000,15,.00083,3,,D,N,8,,,,amb,N,N,clear,Y,2369,Contains approx. 80% Glycol ethers. ww standard.
,Ethylene glycol bottoms,,,,,,,,,,,,,,,,,,"Use  warn water, ventilate. -ship as Ethylene Glycol"
,Brake fluid base,,,,,,,,,,,,,,,,,,Butyl ether.
Ethylene glycol monobutyl ether,,.930,,.00087,3,,D,B,40,135,-100,40,38,N,N,ww,Y,1171,UCC req. wall wash and odor test. N2 normally req.
,Dowanol ee,,,,,,,,,,,,,,,,,,Very sensitive product. ww standard. Cold rinse or 
,Ethoxy ethanol-2,,,,,,,,,,,,,,,,,,only ventilate. Correct  IMO name 2-Ethoxyethanol
,Ethylene Glycol ethyl ether,,,,,,,,,,,,,,,,,,
,Glycol monoethyl ether,,,,,,,,,,,,,,,,,,
,Poly-solv ee,,,,,,,,,,,,,,,,,,
,Cellosolve solv ee,,,,,,,,,,,,,,,,,,
,Oxitol ethyl Shell,,,,,,,,,,,,,,,,,,
,Exithoxol ICI,,,,,,,,,,,,,,,,,,
,Ethoxy ethanol Basf,,,,,,,,,,,,,,,,,,
,Egmee,,,,,,,,,,,,,,,,,,
Ethylene glycol monoethyl ether acetate,,.970,,,3,2g,C,Y,34,156,,49,43,N,N,ww,3,1172,N2 req. for slack tanks.UCC require wall wash.
,Cellosolve acetate UCC,,,,,,,,,,,,,,,,,,ww standard. Cold rinse or only ventilate.
,Eg acetate Huels,,,,,,,,,,,,,,,,,,Correct IMO name 2-Ethoxyethyl Acetate
,Ektasolve eastman,,,,,,,,,,,,,,,,,,
,Ethoxyethanol acetate-2,,,,,,,,,,,,,,,,,,
,Ethoxyethyl acetate-2,,,,,,,,,,,,,,,,,,
,glycol monoethyl ether acetate,,,,,,,,,,,,,,,,,,
,Poly-solv ee acetate,,,,,,,,,,,,,,,,,,
Ethylene glycol monomethyl ether,,.960,,.00089,3,,D,N,40,124,-85,41,38,N,N,ww,Y,1188,"Good coated tamk required, will pickup Fe."
,Jet fuel additive UCC,,,,,,,,,,,,,,,,,,Moisture sensative. Maximum adjacent heat is 38C.
,Methyl oxitol Shell,,,,,,,,,,,,,,,,,,Cold wash. Correct IMO name; Ethylene Glycol
,Jeffersol #4,,,,,,,,,,,,,,,,,,Methyl Ether.
,Dowanol E M,,,,,,,,,,,,,,,,,,
,Glycol monomethyl ether,,,,,,,,,,,,,,,,,,
,Methoxyethanol-2,,,,,,,,,,,,,,,,,,
,Poly-solv E M,,,,,,,,,,,,,,,,,,
Ethylene glycol monomethyl ether acetate,,1.000,,,3,,D,N,34,144,-65,45,38,Y,Y,ww,Y,1189,"ww ""plus""standard. UCC requires wall wash and "
,Methyl cellosolve acetate,,,,,,,,,,,,,,,,,,odor test. Cold wash. Crrect IMO name:
,,,,,,,,,,,,,,,,,,,Ethylene Glycol Methyl Ether Acetate.
Ethylene oxide,,.870,20,,,,,Y,16,10,-12,-18,N,N,N,c-less,Y,2983,Gas code
