,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Propenamide 50%,,,,,,,,,,,,,,,,,,Higly toxic. Clean with plenty ambient temp 
,,,,,,,,,,,,,,,,,,,water.
Acrylic acid,,1.050,20,.00108,3,2g,D,Y,4,141,12,54,32,20,25,WW,Y,2218,Inhibited. Different grades. Nitrogen purge
,Propenoic acid,,,,,,,,,,,,,,,,,,and blanket. Ref: STOLT handling manual.
,Acrolleic acid,,,,,,,,,,,,,,,,,,
,Vinyl Formic acid,,,,,,,,,,,,,,,,,,
Acrylonitrile,,.800,15,.00111,2,2g,B,Y,15,77,-82,-5,N,N,N,WW,N,1093,Poisonous cargo. Cold wash. Check USCG/
,An,,,,,,,,,,,,,,,,,,IMO requirements. Inhibited - No zink tank if
,Cyanoethylene,,,,,,,,,,,,,,,,,,inhibitor is ammonia.
,Fumigrain,,,,,,,,,,,,,,,,,,
,Ventox,,,,,,,,,,,,,,,,,,
,Propenenitrile,,,,,,,,,,,,,,,,,,
,Acn,,,,,,,,,,,,,,,,,,
Adiponitrile,,.960,20,.00072,3,2g,D,Y,37,295,2,94,38,N,N,ww to,sli,2205,Poisonous cargo. Check USCG/IMO requirem
,Adn,,,,,,,,,,,,,,,yellow,,,N2 may be required. Heat may be requiered 
,Tetramethylene cyanide,,,,,,,,,,,,,,,,,,"in cold climate. Preclean with cold water, then"
,"Dicyanobutant-1,4",,,,,,,,,,,,,,,,,,warm and ventilate. Use steam if odor problem
Aircraft turbine fuel A&C,,.770,15,,3,,,N,33,93,,,N,N,,CLEAR,N,,Handle as aviation gas. Some shippers may
,Turbo fuel,,,,,,,,,,,,,,,,,,not accept animal/vegetable oils as last cargo
,,,,,,,,,,,,,,,,,,,Check grade. SpGr. varies from 0.77-0.83
,,,,,,,,,,,,,,,,,,,Avoid mild steel. Cold wash.
Aircraft turbine fuel  B,,.750,15,,,,,N,33,93,,,N,N,,CLEAR,N,,Handle as aviation gas. Some shippers may
,Turbo fuel,,,,,,,,,,,,,,,,,,not accept animal/vegetable oils as last cargo
,,,,,,,,,,,,,,,,,,,Check grade. 
,,,,,,,,,,,,,,,,,,,Avoid mild steel. Cold wash.
Alfol alcohol blend 1214,,.840,15,.00071,3,2g,B,Y,20,249,31,132,Y,49,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. IMO shipping name.:
,,,,,,,,,,,,,,,,,,,Fatty Alcohols (C 12-C 20)
Alfol alcohol blend 1216,,.840,15,.00071,3,2g,B,Y,20,268,21,129,Y,43,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. IMO shipping name.:
,,,,,,,,,,,,,,,,,,,Fatty Alcohols (C 12-C 20)
