oil_name,match_type,country_basic,api_verdict,api_detail,pour_verdict,pour_detail
QATAR MARINE,exact,Qatar,outside range,35.3 vs 35.4-36.7,consistent,+10.0°F = -12.2°C vs -39.0..-12.0°C
QUA IBOE,exact,Nigeria,consistent,35.8 vs 35.7-37.6,consistent,+45.0°F = 7.2°C vs 0.0..13.0°C
SAHARAN BLEND,exact,Algeria,consistent,43.7 vs 43.4-46.4,,
SALAWATI,exact,Indonesia,consistent,38.0 vs 38.0-41.3,consistent,-15°F = -26.1°C vs -26.0..-21.0°C
SARIR,exact,Libya,consistent,38.3 vs 36.6-38.3,outside range,+25.0°F = -3.9°C vs 24.0..27.0°C
SERIA LIGHT,exact,Brunei,outside range,36.2 vs 39.6-40.2,outside range,+35.0°F = 1.7°C vs 9.0..13.0°C
SHENGLI,exact,People's Republic of China,consistent,24.2 vs 23.5-26.0,consistent,+70.0°F = 21.1°C vs 21.0..30.0°C
SIRRI,exact,Iran,consistent,30.9 vs 30.9,consistent,+15.8°F = -9.0°C vs -9.0°C
SOUEDIE,exact,Syria,outside range,24.9 vs 23.5-24.2,consistent,-22°F = -30.0°C vs -39.0..-24.0°C
STATFJORD,exact,"Norway, U.K.(North Sea)",consistent,38.4 vs 37.7-39.0,consistent,+40.0°F = 4.4°C vs -18.0..6.0°C
TEMBUNGO,exact,"Malaysia, Sabah",consistent,37.4 vs 36.6,differs,+25.0°F = -3.9°C vs 9.0°C
THISTLE,exact,U.K. (North Sea),consistent,37.0 vs 37.0-37.2,consistent,+53.6°F = 12.0°C vs 9.0..12.0°C
TIA JUANA LIGHT,exact,Venezuela,consistent,32.1 vs 29.4-34.5,consistent,-45°F = -42.8°C vs -42.0..-24.0°C
UDANG,exact,Indonesia,consistent,38.0 vs 37.6-38.5,consistent,100°F = 37.8°C vs 35.0..39.0°C
WALIO,exact,Indonesia,consistent,34.1 vs 33.4-36.4,,
ALASKAN NORTH SLOPE (SADLEROCHIT),near -> ALASKAN NORTH SLOPE,U.S.A.,,,,needs human validation
AMNA (HIGH POUR),near -> AMNA,Libya,,,,needs human validation
ARABIAN HEAVY (SAFANIYA),near -> ARABIAN HEAVY,Saudi Arabia,,,,needs human validation
ARABIAN MEDIUM - KHURSANIYAH,near -> ARABIAN MEDIUM,Saudi Arabia,,,,needs human validation
ARABIAN MEDIUM - ZULUF / MARJAN,near -> ARABIAN MEDIUM,Saudi Arabia,,,,needs human validation
BACHAQUERO,near -> BACHAQUERO (BCF-13),Venezuela,,,,needs human validation
BACHAQUERO,near -> BACHAQUERO (BCF-17),Venezuela,,,,needs human validation
BACHAQUERO,near -> BACHAQUERO (BCF-22),Venezuela,,,,needs human validation
BACHAQUERO,near -> BACHAQUERO (BCF-24),Venezuela,,,,needs human validation
BACHAQUERO,near -> BACHAQUERO DOS,Venezuela,,,,needs human validation
BELAYIM,near -> BELAYIM BLEND,Egypt,,,,needs human validation
BELAYIM,near -> BELAYIM LAND,Egypt,,,,needs human validation
BELAYIM,near -> BELAYIM MARINE,Egypt,,,,needs human validation
BOW RIVER HEAVY,near -> BOW RIVER,Canada,,,,needs human validation
CHAMPION EXPORT,near -> CHAMPION,Brunei,,,,needs human validation
DJENO BLEND,near -> DJENO,Congo (Brazzaville),,,,needs human validation
DURI (SUMATRAN HEAVY),near -> DURI,"Indonesia, Sumatra",,,,needs human validation
FLOTTA,near -> FLOTTA MIX,U.K. (North Sea),,,,needs human validation
FOROOZAN (FEREIDOON),near -> FOROOZAN,Iran,,,,needs human validation
FORTIES,near -> FORTIES BLEND,U.K. (North Sea),,,,needs human validation
GORM,near -> GORM BLEND,Denmark (North Sea),,,,needs human validation
GULF OF SUEZ MIX,near -> GULF OF SUEZ,Egypt,,,,needs human validation
IRANIAN HEAVY,near -> IRANIAN HEAVY (KHARG ISLAND),Iran,,,,needs human validation
IRANIAN HEAVY,near -> IRANIAN HEAVY (SIDI KERIR),Iran,,,,needs human validation
IRANIAN LIGHT,near -> IRANIAN LIGHT (KHARG ISLAND),Iran,,,,needs human validation
IRANIAN LIGHT,near -> IRANIAN LIGHT (SIDI KERIR),Iran,,,,needs human validation
KIRKUK BLEND,near -> KIRKUK,Iraq,,,,needs human validation
LABUAN BLEND,near -> LABUAN,"Malaysia, Sabah",,,,needs human validation
LUCINA MARINE,near -> LUCINA,Gabon,,,,needs human validation
MINAS (SUMATRAN LIGHT),near -> MINAS,"Indonesia, Sumatra",,,,needs human validation
PENNINGTON,near -> PENNINGTON LIGHT,Nigeria,,,,needs human validation
ROSTAM,near -> ROSTAM/RAKHSH,Iran,,,,needs human validation
SASSAN (SALMON),near -> SASSAN,Iran,,,,needs human validation
SIRTICA,near -> SIRTICA BLEND,Libya,,,,needs human validation
SOYO BLEND,near -> SOYO,Angola,,,,needs human validation
TAPIS,near -> TAPIS BLEND,Malaysia,,,,needs human validation
UMM SHAIF (ABU DHABI MARINE),near -> UMM SHAIF,Abu Dhabi,,,,needs human validation
ZAIRE,near -> ZAIRE EXPORT,Zaire,,,,needs human validation
